Group Code As Per Xcube,Group Name as per Xcube,Site Code As Per Xcube,Site Name As Per Xcube,Billing Name As Per Tally,Region,zone,state,Party State,GSTIN/UIN,Costcentre,Address,site_code_no
GROUP5,Delta Corp Private Limited,SITE34,Delta Corp Private Limited Casino,Delta Corp Ltd.,Gujarat,1,10,Daman & Diu,25AAACC7260M1ZJ,Daman Hospitality Pvt Ltd  ( Public Area )- New,"Survey No.8/1 & 8/1-A,, Village Varkund, Vapi Daman Road, Nani Daman, Daman and Div - 396210",34
GROUP5,Delta Corp Private Limited,SITE35,Delta Corp Private Limited Kitchen Area,Delta Corp Ltd.,Gujarat,1,10,Daman & Diu,25AAACC7260M1ZJ,Daman Hospitality Pvt Ltd  ( Public Area )- New,"Survey No.8/1 & 8/1-A,, Village Varkund, Vapi Daman Road, Nani Daman, Daman and Div - 396210",35
GROUP5,Delta Corp Private Limited,SITE36,Delta Corp Private Limited Public Area,Delta Corp Ltd.,Gujarat,1,10,Daman & Diu,25AAACC7260M1ZJ,Daman Hospitality Pvt Ltd  ( Public Area )- New,"Daman Hospitality Private Limited,Survey No.8/1 & 8/1-A,Village Varkund,Vapi Daman Road,Daman and Div - 396210",36
GROUP33,Creative Garments Private Limited,SITE1159,Creative Garments Bhalita,Creative Textiles Mills Pvt. Ltd.,Gujarat,1,7,Gujarat,24AAACC5458P1ZB,Creative Textiles Mills Pvt. Ltd-Balita(New),"Creative Textile Mills Pvt Ltd,S.No . 120/237 Vill:- Balitha Via Challa, Jayashree Cinema Vapi Gujarat 396191",1159
GROUP54,Polycab,SITE95,Polycab,Polycab India Limited,Gujarat,1,7,Gujarat,24AAACP6474E1ZJ,Polycab (3 ) - New,"32,33,34, Vill-Rampura, Tq. Halol,, Dist. Panchmahal",95
GROUP33,Creative Garments Private Limited,SITE1161,Creative Garments Vapi GIDC,Creative Textiles Mills PVT. LTD.,Gujarat,1,7,Gujarat,24AAACC5458P1ZB,Creative Textiles Mills Pvt. Ltd GIDC - New,"Creative Textiles Mills PVT. LTD.,GIDC ,
Vapi.",1161
GROUP33,Creative Garments Private Limited,SITE1256,Creative Textiles Mills Pvt. Ltd.,Creative Textile Mills Pvt Ltd (Daman),Gujarat,1,10,Daman & Diu,25AAACC5458P1Z9,Creative Textile Mills Pvt Ltd (Daman)-New,"Creative Textile Mills Pvt Ltd (Daman),Plot No 434/6,434/13,434/14 & 434/17,Near Dabhel Check Post ,Vill - Dabhel Daman (UT OF DAMAN &DIU)",1256
GROUP33,Creative Garments Private Limited,SITE1160,Creative Garments Daman,CREATIVE GARMENTS PVT.LTD.-Daman,Gujarat,1,10,Daman & Diu,25AAACC0431C1ZL,CREATIVE GARMENTS PVT.LTD.-Daman (New),"CREATIVE GARMENTS PVT.LTD.-Daman,Survey/ Plot No-440/1,2,3.,Near Dhabhel Check Post, Village -Dhabhel",1160
GROUP34,Dai ichi Karkaria Limited,SITE33,Dai ichi Karkaria Limited,Dai Ichi Karkaria Ltd.,Gujarat,1,7,Gujarat,24AAACD0548F1Z6,Dai Ichi Karkaria Ltd - New,"D2/20, Dahej-Ii Industrial Estate, GIDC,, Vagra, Bharuch-392130",33
GROUP54,Polycab,SITE1038,Ryker Base (Polycab Unit 8),Ryker Base Pvt Ltd,Gujarat,1,7,Gujarat,24AAHCR8445C1ZF,Ryker Base Pvt Ltd - New,"D2/20, Dahej-Ii Industrial Estate, GIDC,, Vagra, Bharuch-392130",1038
